time,av_autocorr_adaptive,av_autocorr_echo_adaptive,av_g_values,av_autocorr_standard,av_autocorr_echo_standard,sqrt_av_autocorr_echo_adaptive,sqrt_av_autocorr_echo_standard,g_history_inst1,echo_adaptive_inst1,forward_adaptive_inst1
0,-0.642578125,0.64453125,0.84,-0.671875,0.68359375,0.8028270361665706,0.8267972847076845,0.84,0.64453125,-0.642578125
1,0.486328125,0.603515625,0.8577734375,0.431640625,0.6015625,0.7768626809160033,0.7756046028744286,0.8577734375,0.603515625,0.486328125
2,-0.421875,0.5625,0.87759765625,-0.4765625,0.556640625,0.75,0.7460835241445827,0.87759765625,0.5625,-0.421875
3,0.3046875,0.4453125,0.89947265625,0.263671875,0.482421875,0.667317390751957,0.6945659615904022,0.89947265625,0.4453125,0.3046875
4,-0.39453125,0.3828125,0.9272070312499999,-0.396484375,0.3671875,0.6187184335382291,0.6059599821770412,0.9272070312499999,0.3828125,-0.39453125
5,0.416015625,0.3203125,0.95,0.3828125,0.390625,0.5659615711335886,0.625,0.95,0.3203125,0.416015625
6,-0.4140625,0.294921875,0.95,-0.36328125,0.333984375,0.5430670999057114,0.5779138127783415,0.95,0.294921875,-0.4140625
7,0.35546875,0.244140625,0.95,0.39453125,0.21875,0.49410588440130926,0.46770717334674267,0.95,0.244140625,0.35546875
8,-0.326171875,0.21484375,0.95,-0.349609375,0.224609375,0.46351240544347894,0.4739297152532219,0.95,0.21484375,-0.326171875
9,0.35546875,0.205078125,0.95,0.21875,0.181640625,0.45285552331841994,0.426193178030808,0.95,0.205078125,0.35546875
10,-0.376953125,0.220703125,0.95,-0.27734375,0.14453125,0.4697905118241534,0.3801726581436387,0.95,0.220703125,-0.376953125
11,0.328125,0.12109375,0.95,0.248046875,0.205078125,0.34798527267687634,0.45285552331841994,0.95,0.12109375,0.328125
12,-0.2890625,0.107421875,0.95,-0.244140625,0.119140625,0.32775276505317236,0.3451675317871019,0.95,0.107421875,-0.2890625
13,0.208984375,0.08203125,0.95,0.2578125,0.1171875,0.28641098093474,0.3423265984407288,0.95,0.08203125,0.208984375
14,-0.21484375,0.166015625,0.95,-0.1796875,0.08203125,0.40745015032516557,0.28641098093474,0.95,0.166015625,-0.21484375
15,0.1875,0.080078125,0.95,0.23046875,0.03125,0.2829807855667943,0.1767766952966369,0.95,0.080078125,0.1875
16,-0.2109375,0.0703125,0.95,-0.208984375,0.115234375,0.2651650429449553,0.33946189035000673,0.95,0.0703125,-0.2109375
17,0.185546875,0.0234375,0.95,0.18359375,0.03125,0.15309310892394862,0.1767766952966369,0.95,0.0234375,0.185546875
18,-0.1796875,0.0546875,0.95,-0.169921875,0.0546875,0.23385358667337133,0.23385358667337133,0.95,0.0546875,-0.1796875
19,0.13671875,0.083984375,0.95,0.21875,0.046875,0.28980057798424075,0.21650635094610965,0.95,0.083984375,0.13671875
