inst1_g_values,inst1_echo_values
0.84,0.6171875
0.8438281249999999,0.578125
0.848046875,0.544921875
0.85259765625,0.462890625
0.85796875,0.380859375
0.86416015625,0.296875
0.87119140625,0.294921875
0.8782421875,0.2890625
0.8853515625,0.220703125
0.89314453125,0.22265625
0.9009179687500001,0.197265625
0.9089453125000001,0.208984375
0.9168554687500001,0.0859375
0.9259960937500001,0.134765625
0.9346484375000002,0.109375
0.9435546875000002,0.07421875
0.9528125000000002,0.08203125
0.9619921875000002,0.04296875
0.9715625000000001,0.091796875
0.9806445312500001,0.1328125
