time,av_autocorr_adaptive,av_autocorr_echo_adaptive,av_g_values,av_autocorr_standard_g84,av_autocorr_echo_standard_g84,av_autocorr_standard_g97,av_autocorr_echo_standard_g97,sqrt_av_autocorr_echo_adaptive,sqrt_av_autocorr_echo_standard_g84,sqrt_av_autocorr_echo_standard_g97,upper_env_adaptive_forward,lower_env_adaptive_forward,upper_env_g84_forward,lower_env_g84_forward,upper_env_g97_forward,lower_env_g97_forward,upper_env_adaptive_echo,lower_env_adaptive_echo,upper_env_g84_echo,lower_env_g84_echo,upper_env_g97_echo,lower_env_g97_echo,g_history_inst1,echo_adaptive_inst1,forward_adaptive_inst1,echo_standard_g84_inst1,forward_standard_g84_inst1,echo_standard_g97_inst1,forward_standard_g97_inst1
0,-0.630859375,0.67578125,0.84,-0.552734375,0.640625,-0.6796875,0.65625,0.8220591523728691,0.8003905296791061,0.8100925873009825,-0.31174466115710864,-0.630859375,-0.2475810822667916,-0.5592771082876643,-0.3409111325293735,-0.6796875,0.67578125,0.6491517156589355,0.6413504694069898,0.620309853438747,0.65625,0.6344845055031655,0.84,0.67578125,-0.630859375,0.640625,-0.552734375,0.65625,-0.6796875
1,0.638671875,0.57421875,0.9048895524431383,0.662109375,0.64453125,0.66796875,0.58203125,0.7577722283113838,0.8028270361665706,0.7629097259833564,0.638671875,-0.5744014247129035,0.662109375,-0.5688627066746662,0.66796875,-0.6641708150501194,0.6142524336179326,0.57421875,0.64453125,0.5647985209000661,0.5860990705853546,0.574851074690041,0.9048895524431383,0.57421875,0.638671875,0.64453125,0.662109375,0.58203125,0.66796875
2,-0.548828125,0.53125,0.9328498864002537,-0.5625,0.533203125,-0.638671875,0.52734375,0.7288689868556626,0.7302075903467452,0.7261843774138906,0.6865491584963239,-0.5533303850372383,0.6912573597174818,-0.5625,0.7181468529346426,-0.638671875,0.5579745144081086,0.4942350087433992,0.6244445953282505,0.498539153639424,0.5331224869093933,0.5031838680994071,0.9328498864002537,0.53125,-0.548828125,0.533203125,-0.5625,0.52734375,-0.638671875
3,0.564453125,0.466796875,0.9726418932885258,0.552734375,0.5,0.583984375,0.49609375,0.6832253471586077,0.7071067811865476,0.7043392293490403,0.5999239666025642,-0.5461034688681378,0.5849165455533716,-0.5133115736354348,0.6187870969962512,-0.5974465285215294,0.5049954621058416,0.42073125741253203,0.594000262836492,0.43984984721205267,0.49609375,0.43918683605695563,0.9726418932885258,0.466796875,0.564453125,0.5,0.552734375,0.49609375,0.583984375
4,-0.53125,0.423828125,0.9370851953576919,-0.458984375,0.474609375,-0.556640625,0.44140625,0.6510208329999894,0.6889189901577688,0.6643841132959156,0.51838951518388,-0.53125,0.47892157029704924,-0.4606151501905739,0.5198977955161884,-0.5586609810738979,0.4561659367158132,0.35743265620338754,0.551423499099429,0.3891522921584424,0.4446097600797234,0.38363841444579994,0.9370851953576919,0.423828125,-0.53125,0.474609375,-0.458984375,0.44140625,-0.556640625
5,0.5234375,0.404296875,0.9132867299946745,0.45703125,0.4140625,0.515625,0.40234375,0.6358434359179939,0.6434768838116876,0.6343057228182637,0.5234375,-0.4695246191569019,0.45703125,-0.41409072670274427,0.515625,-0.5242475855155884,0.41133985032100007,0.3038794765496876,0.5004135381062377,0.3455472303762534,0.40234375,0.3359198131919734,0.9132867299946745,0.404296875,0.5234375,0.4140625,0.45703125,0.40234375,0.515625
6,-0.41796875,0.35546875,0.9224871508243007,-0.380859375,0.306640625,-0.4921875,0.3046875,0.596212000885591,0.5537514108334172,0.5519850541454905,0.4988746574915782,-0.4383228723622681,0.4303226044436713,-0.38979306191459206,0.5094119328630794,-0.4921875,0.3703592708041776,0.2591052546707453,0.44467618672879794,0.306640625,0.3528841598614101,0.29539564008107855,0.9224871508243007,0.35546875,-0.41796875,0.306640625,-0.380859375,0.3046875,-0.4921875
7,0.4609375,0.30078125,0.8793671991955739,0.396484375,0.318359375,0.484375,0.259765625,0.5484352742120077,0.5642334401646184,0.5096720759468778,0.4664345971634515,-0.45384477841668613,0.4023409577972285,-0.3878373713526091,0.484375,-0.45860188955376247,0.33306626604812056,0.22209919381549467,0.3880568316744214,0.2759547736944078,0.329867416119472,0.259765625,0.8793671991955739,0.30078125,0.4609375,0.318359375,0.396484375,0.259765625,0.484375
8,-0.4921875,0.255859375,0.9388854381999832,-0.392578125,0.33203125,-0.4296875,0.28515625,0.5058254392574577,0.5762215285808054,0.5340002340823456,0.44120438779941307,-0.4921875,0.3830175501505829,-0.392578125,0.43948771958231353,-0.43555573265154157,0.2993029039356041,0.19184995094114926,0.3358891637344559,0.2481374723288854,0.31919255360697885,0.23338900609587176,0.9388854381999832,0.255859375,-0.4921875,0.33203125,-0.392578125,0.28515625,-0.4296875
9,0.42578125,0.166015625,0.863388490773182,0.369140625,0.29296875,0.40625,0.310546875,0.40745015032516557,0.5412658773652742,0.557267328128969,0.42578125,-0.44735805493452646,0.369140625,-0.34645587851996895,0.4193910705879737,-0.4271427670013545,0.26891224350702697,0.166015625,0.29296875,0.22375285130305295,0.310546875,0.2106354568334301,0.863388490773182,0.166015625,0.42578125,0.29296875,0.369140625,0.310546875,0.40625
10,-0.384765625,0.1796875,0.9152401151110131,-0.2890625,0.2265625,-0.42578125,0.19140625,0.42389562394532926,0.4759858191164943,0.4375,0.3964478091999385,-0.3881398606983989,0.32026463743102257,-0.28987331908053593,0.43035639080913607,-0.42578125,0.24181787816159822,0.14757654696402844,0.24594951955198674,0.2018859977512615,0.29873887818932565,0.19140625,0.9152401151110131,0.1796875,-0.384765625,0.2265625,-0.2890625,0.19140625,-0.42578125
11,0.36328125,0.216796875,0.9057487619846899,0.265625,0.181640625,0.453125,0.220703125,0.46561451330472936,0.426193178030808,0.4697905118241534,0.36440111565088495,-0.3333801623242363,0.2685681091878285,-0.23378202703213477,0.453125,-0.4077227463064088,0.21883448702503913,0.1315296997756802,0.2113988822793305,0.18162559765447583,0.28263952426399397,0.1784019558281201,0.9057487619846899,0.216796875,0.36328125,0.181640625,0.265625,0.220703125,0.453125
12,-0.294921875,0.201171875,0.8923081098985551,-0.1875,0.162109375,-0.388671875,0.26171875,0.44852187795022885,0.4026280852101602,0.5115845482420281,0.335738938127149,-0.3017315932754506,0.22275240221362988,-0.1939169729330866,0.40998525561613053,-0.391164731264655,0.201171875,0.11819443815931946,0.1886743525416153,0.162109375,0.26171875,0.16753871228389014,0.8923081098985551,0.201171875,-0.294921875,0.162109375,-0.1875,0.26171875,-0.388671875
13,0.314453125,0.177734375,0.9402147684328518,0.185546875,0.173828125,0.353515625,0.1796875,0.4215855488510013,0.41692700200394794,0.42389562394532926,0.3179778055418144,-0.2890231545844004,0.18759156753683584,-0.17055892702217595,0.3563788633854016,-0.37623307895108626,0.1794140362214755,0.10657201899448271,0.17672253060603094,0.14285359539956563,0.22872890546045904,0.15916309416218344,0.9402147684328518,0.177734375,0.314453125,0.173828125,0.185546875,0.1796875,0.353515625
14,-0.28125,0.095703125,0.9622291236000337,-0.15234375,0.171875,-0.357421875,0.15234375,0.30935921676911454,0.414578098794425,0.3903123748998999,0.306555285156183,-0.28125,0.15968134543220058,-0.15234375,0.30769661994498543,-0.357421875,0.16220722198709592,0.095703125,0.17374563563585976,0.12386946415698713,0.1951124366407535,0.15190263051297265,0.9622291236000337,0.095703125,-0.28125,0.171875,-0.15234375,0.15234375,-0.357421875
15,0.291015625,0.12109375,0.8937735046811162,0.134765625,0.15625,0.2734375,0.162109375,0.34798527267687634,0.39528470752104744,0.4026280852101602,0.291015625,-0.25339025874778426,0.134765625,-0.10686578096057743,0.2806526475943873,-0.31321790023527607,0.14853251915713797,0.08646047715496874,0.17385294371606352,0.10554672820050637,0.16474323789580192,0.14154031925161148,0.8937735046811162,0.12109375,0.291015625,0.15625,0.134765625,0.162109375,0.2734375
16,-0.234375,0.13671875,0.8869614771677826,-0.060546875,0.087890625,-0.283203125,0.125,0.369754986443726,0.29646353064078557,0.3535533905932738,0.2274444856664729,-0.24207805682498548,0.1093136129164285,-0.0661082307397158,0.27482148404193457,-0.2958718098415667,0.13731138751851246,0.08064826837703834,0.16880570029444258,0.087890625,0.14294049999436342,0.12142848729229017,0.8869614771677826,0.13671875,-0.234375,0.087890625,-0.060546875,0.125,-0.283203125
17,0.16015625,0.1015625,0.9294562703492452,0.083984375,0.15625,0.279296875,0.12890625,0.31868871959954903,0.39528470752104744,0.3590351654086268,0.17178776187908593,-0.22657555719847944,0.0849462951789108,-0.0359639356681654,0.279296875,-0.2828689005818926,0.12820842153228032,0.08189496625520568,0.15625,0.07264570137230754,0.13246873683250152,0.09717043220777737,0.9294562703492452,0.1015625,0.16015625,0.15625,0.083984375,0.12890625,0.279296875
18,-0.173828125,0.08984375,0.9323216159960328,-0.01171875,0.07421875,-0.23046875,0.080078125,0.29973947020704494,0.2724311839712921,0.2829807855667943,0.1547595959282455,-0.173828125,0.06410771191026746,-0.01171875,0.2559519311062033,-0.23046875,0.12111250613025848,0.08984375,0.11015543818849077,0.05908314664352921,0.13420773044209972,0.080078125,0.9323216159960328,0.08984375,-0.173828125,0.07421875,-0.01171875,0.080078125,-0.23046875
19,0.1953125,0.115234375,0.953312629199899,0.046875,0.046875,0.208984375,0.146484375,0.33946189035000673,0.21650635094610965,0.38273277230987157,0.1953125,0.10195862999486063,0.051041152369334826,0.031876483338237414,0.22352950428410462,0.09802418758203867,0.11667255821358741,0.10873099080018378,0.06502970035372871,0.046875,0.146484375,0.13008115896677852,0.953312629199899,0.115234375,0.1953125,0.046875,0.046875,0.146484375,0.208984375
